municipio,total_atendimentos,uf,populacao,atendimentos_100k,incoerente,regiao
SANTA QUITERIA,1797,CE,43719,4110.341041652371,False,Nordeste
SANTANA DO ACARAU,1955,CE,32851,5951.112599312045,False,Nordeste
SANTANA DO CARIRI,1234,CE,17726,6961.525442852308,False,Nordeste
SAO BENEDITO,2028,CE,48354,4194.068743020226,False,Nordeste
SAO GONCALO DO AMARANTE,1280,CE,49306,2596.0329371678904,False,Nordeste
SAO JOAO DO JAGUARIBE,111,CE,7557,1468.8368400158793,False,Nordeste
SAO LUIS DO CURU,526,CE,13086,4019.5628916399205,False,Nordeste
SENADOR POMPEU,958,CE,25418,3768.9826107482886,False,Nordeste
SENADOR SA,415,CE,7758,5349.3168342356275,False,Nordeste
SOBRAL,3789,CE,212437,1783.5876047957745,False,Nordeste
SOLONOPOLE,497,CE,18389,2702.702702702703,False,Nordeste
TABULEIRO DO NORTE,997,CE,32079,3107.9522429003396,False,Nordeste
TAMBORIL,1397,CE,26199,5332.264590251536,False,Nordeste
TARRAFAS,405,CE,8555,4734.073641145529,False,Nordeste
TAUA,1328,CE,59259,2241.009804417894,False,Nordeste
TEJUCUOCA,1343,CE,19551,6869.213850953916,False,Nordeste
TIANGUA,3926,CE,77111,5091.36180311499,False,Nordeste
TRAIRI,4377,CE,56653,7725.980971881453,False,Nordeste
TURURU,1008,CE,16588,6076.681938750905,False,Nordeste
UBAJARA,1694,CE,35295,4799.546677999717,False,Nordeste
UMARI,406,CE,7740,5245.47803617571,False,Nordeste
UMIRIM,1074,CE,19976,5376.451742090509,False,Nordeste
URUBURETAMA,1524,CE,22223,6857.759978400755,False,Nordeste
URUOCA,735,CE,13988,5254.503860451816,False,Nordeste
VARJOTA,675,CE,18520,3644.708423326134,False,Nordeste
VARZEA ALEGRE,874,CE,41078,2127.659574468085,False,Nordeste
VICOSA DO CEARA,2899,CE,61916,4682.150009690548,False,Nordeste
